created,topic,assessment_id,topic_id,akb_url,chars
2022-08-12,CVE-2022-31656,3ba10e8f-6434-4a63-824f-827f432ab653,00a44135-5bf7-42a7-bd76-ae40a198175c,https://attackerkb.com/topics/00a44135-5bf7-42a7-bd76-ae40a198175c,2941
2022-08-19,CVE-2022-33891,da773bed-c065-4327-83c5-35834c29f8bc,1034a481-7074-4e9f-9c4f-962b5e549ac3,https://attackerkb.com/topics/1034a481-7074-4e9f-9c4f-962b5e549ac3,7917
2022-09-16,CVE-2017-7921,ebfeb067-6577-4c6a-a8a7-82fd540dca25,84a8e7d4-3755-4576-aaa3-0e9f117ac09c,https://attackerkb.com/topics/84a8e7d4-3755-4576-aaa3-0e9f117ac09c,9459
2022-10-16,CVE-2022-31814,d19857f7-18fc-44fd-9035-ac9f96a3f79c,a025b969-bb70-4702-96c5-51891785cbf6,https://attackerkb.com/topics/a025b969-bb70-4702-96c5-51891785cbf6,5876
2022-10-20,CVE-2022-37061,20f166a8-1160-4e84-af87-b074f3a729b2,d89b0899-566e-45e9-b853-6845e492a9c2,https://attackerkb.com/topics/d89b0899-566e-45e9-b853-6845e492a9c2,4134
2022-11-06,CVE-2021-39144,22e1bc30-6976-433d-b623-5e6da1928eb6,f26993d0-c6c1-455f-991a-83a5cb45bb19,https://attackerkb.com/topics/f26993d0-c6c1-455f-991a-83a5cb45bb19,10675
2022-12-03,CVE-2019-7256,aec80822-1405-491e-94e4-2d06e7822f9e,0ee9e53a-fb5d-4df2-9d3e-c36b52da0d76,https://attackerkb.com/topics/0ee9e53a-fb5d-4df2-9d3e-c36b52da0d76,9083
2022-12-03,CVE-2019-7252,06eff03d-ef34-4318-b4a8-e2e2ee3ec43e,cc2c52ce-f3bf-46ab-a4f9-f67f6596ab52,https://attackerkb.com/topics/cc2c52ce-f3bf-46ab-a4f9-f67f6596ab52,4171
2023-01-08,CVE-2021-44529,d200fb32-b92f-4f69-8ae1-f6e253cf00c2,c3392d0b-be07-425d-9678-3c919b2dfa7f,https://attackerkb.com/topics/c3392d0b-be07-425d-9678-3c919b2dfa7f,12201
2023-01-14,CVE-2022-44877,1aab3b96-1ee8-4e1b-a8b1-dbdfdd6529e5,af0b4d63-d934-4856-9bf3-ef619288764d,https://attackerkb.com/topics/af0b4d63-d934-4856-9bf3-ef619288764d,7175
